first name,last name,Institution,role
Paula,Menendez-Benito,University of Goettingen,
Dilip,Ninan,Tufts University,
Mandy,Simons,CMU,
Patrick,Grosz,University of Tuebingen,
Marcus,Kracht,Universität Bielefeld,
Laura,Kertz,Brown University,
Frank,Veltman,ILLC University of Amsterdam,
David,Beaver,The University of Texas at Austin,
Ronnie,Wilbur,"Purdue University Linguistics, and Speech-Lg-Hear Sci",
Toshiyuki,Ogihara,Univ. of Washington,
Ben,George,,
Michael,Glanzberg,,
Daphna,Heller,University of Toronto,
Gerhard,Jaeger,University of Tuebingen,
Marcelo,Ferreira,Universidade de São Paulo,
Sam,Cumming,UCLA,
Paul,Dekker,ILLC/University of Amsterdam,
Martin,Hackl,MIT,
Napoleon,Katsos,"University of Cambridge, RCEAL",
Thony,Gillies,Rutgers,
Penka,Stateva,University of Nova Gorica,
Tamina,Stephenson,University of Massachusetts -- Amherst,
Junko,Shimoyama,McGill University,
Benjamin,Spector,Institut Jean-Nicod - CNRS - ENS - EHESS,
Jeffrey,Lidz,University of Maryland,
Markus,Steinbach,University of Göttingen,
Isidora,Stojanovic,"Institut Jean-Nicod, CNRS-ENS-EHESS",
Natasha,Abner,University of Chicago,
Jacques,Jayez,"ENS-LSH and L2C2, CNRS",
Ann,Bunger,,
Pauline,Jacobson,Brown University,
Anton,Benz,ZAS Berlin,
Seth,Yalcin,Berkeley,
Magdalena,Kaufmann,University of Connecticut,
Ira,Noveck,CNRS,
Nancy,Hedberg,Simon Fraser University,
Mats,Rooth,Cornell University,
Josep,Quer,ICREA/Universitat Pompeu Fabra,
Keir,Moulton,Simon Fraser University,
Malte,Willer,University of Chicago,
John,Beavers,The University of Texas at Austin,
Beata,Gyuris,,
Masahiro,Yamada,Kyoto University/Japan Society for the Promotion of Science/Rutgers University,
Rick,Nouwen,Utrecht Institute for Linguistics OTS,
Francis Jeffry,Pelletier,Simon Fraser University,
Jenny,Doetjes,LUCL,
William,Starr,Cornell University,
Cleo,Condoravdi,Stanford University,
Daniel,Hardt,,
Roberto,Zamparelli,Università di Trento,
Christopher,Piñón,Université Lille 3 / UMR 8163 STL,
